,en,ko,type
48,up,위로,adv
53,so,그래서,adv
62,out,밖으로,adv
64,just,단지,adv
70,now,지금,adv
74,how,어떻게,adv
75,then,그 다음에,adv
79,more,더,adv
85,also,또한,adv
94,here,여기,adv
98,well,잘,adv
99,only,뿐,adv
103,very,매우,adv
105,even,조차,adv
106,back,뒤,adv
114,there,거기,adv
116,down,아래에,adv
124,still,아직,adv
126,in,안에,adv
127,as,~처럼,adv
131,too,~도,adv
134,when,언제,adv
136,never,절대,adv
140,really,진짜,adv
142,most,대부분,adv
153,on,~에,adv
156,why,왜,adv
177,about,~에 대한,adv
180,over,~ 위에,adv
182,again,다시,adv
188,where,어디,adv
191,right,오른쪽,adv
203,off,끄다,adv
204,always,언제나,adv
213,today,오늘,adv
220,all,모두,adv
251,far,멀리,adv
260,long,긴,adv
268,away,떨어져 있는,adv
273,often,자주,adv
274,yet,아직,adv
279,ever,항상,adv
283,however,하지만,adv
290,almost,거의,adv
294,later,나중에,adv
296,much,많이,adv
299,once,한 번,adv
301,least,최소,adv
315,ago,~ 전에,adv
323,together,함께,adv
325,around,주위에,adv
333,already,이미,adv
373,enough,충분한,adv
374,both,둘 다,adv
382,maybe,아마도,adv
395,actually,실제로,adv
397,probably,아마,adv
405,home,집,adv
417,course,강의,adv
434,perhaps,아마도,adv
435,little,작은,adv
439,else,또 다른,adv
444,sometimes,때때로,adv
469,finally,마지막으로,adv
476,less,더 적은,adv
494,better,더 나은,adv
510,early,일찍,adv
514,especially,특히,adv
557,either,어느 하나,adv
560,quite,상당히,adv
582,simply,간단히,adv
597,nearly,거의,adv
609,soon,곧,adv
662,certainly,틀림없이,adv
678,quickly,빠르게,adv
697,no,아니요,adv
698,recently,최근에,adv
704,before,~ 전에,adv
723,usually,대개,adv
743,thus,이와 같이,adv
747,exactly,바로 그거죠,adv
767,hard,딱딱한,adv
779,particularly,특히,adv
797,pretty,예쁜,adv
816,forward,앞으로,adv
825,PM,오후,adv
831,ok,좋아요,adv
847,clearly,분명히,adv
849,indeed,참으로,adv
861,rather,꽤,adv
901,that,저것,adv
911,tonight,오늘 밤,adv
915,close,닫다,adv
956,suddenly,갑자기,adv
968,best,베스트,adv
995,instead,대신에,adv
1026,ahead,앞으로,adv
1098,fast,빠른,adv
1099,alone,홀로,adv
