,en,ko,type
50,time,시각,noun
52,year,년도,noun
60,people,사람들,noun
82,way,방법,noun
88,day,낮,noun
92,man,남성,noun
95,thing,물건,noun
109,woman,여성,noun
112,life,삶,noun
113,child,어린이,noun
121,world,세계,noun
123,school,학교,noun
135,state,상태,noun
145,family,가족,noun
155,student,학생,noun
161,group,그룹,noun
164,country,국가,noun
169,problem,문제,noun
172,hand,손,noun
176,part,부분,noun
179,place,장소,noun
184,case,사례,noun
186,week,주,noun
187,company,회사,noun
189,system,체계,noun
192,program,프로그램,noun
195,question,의문,noun
197,work,일하다,noun
199,government,정부,noun
202,number,숫자,noun
207,night,밤,noun
209,Mr,씨,noun
210,point,가리키다,noun
223,home,집,noun
225,water,물,noun
226,room,방,noun
228,mother,어머니,noun
229,area,지역,noun
231,money,돈,noun
232,story,이야기,noun
234,fact,사실,noun
235,month,월,noun
237,lot,많은,noun
238,right,오른쪽,noun
239,study,공부하다,noun
240,book,책,noun
241,eye,눈,noun
242,job,직업,noun
243,word,단어,noun
245,business,사업,noun
246,issue,문제,noun
247,side,옆,noun
248,kind,친절한,noun
250,head,머리,noun
256,house,집,noun
262,service,서비스,noun
264,friend,친구,noun
266,father,아버지,noun
270,power,힘,noun
271,hour,시,noun
272,game,게임,noun
275,line,선,noun
277,end,끝,noun
284,member,회원,noun
286,law,법,noun
288,car,자동차,noun
289,city,도시,noun
295,community,지역 사회,noun
297,name,이름,noun
302,president,대통령,noun
306,team,팀,noun
307,minute,분,noun
310,idea,아이디어,noun
311,kid,어린이,noun
312,body,신체,noun
313,information,정보,noun
321,back,뒤,noun
326,parent,부모의,noun
329,face,얼굴,noun
335,others,기타,noun
337,level,수준,noun
340,office,사무실,noun
342,door,문,noun
343,health,건강,noun
344,person,사람,noun
345,art,미술,noun
348,war,전쟁,noun
349,history,역사,noun
350,party,파티,noun
353,result,결과,noun
355,change,변화,noun
356,morning,아침,noun
358,reason,이유,noun
361,research,연구,noun
362,girl,여자,noun
363,guy,남자,noun
365,food,음식,noun
367,moment,순간,noun
369,air,공기,noun
370,teacher,선생님,noun
371,force,힘,noun
375,education,교육,noun
379,foot,발,noun
381,boy,소년,noun
385,age,나이,noun
387,policy,정책,noun
390,process,프로세스,noun
391,music,음악,noun
401,market,시장,noun
406,sense,감각,noun
411,nation,국가,noun
412,plan,계획,noun
414,college,대학,noun
415,interest,관심,noun
416,death,죽음,noun
419,experience,경험,noun
426,effect,효과,noun
427,use,사용,noun
430,class,수업,noun
431,control,제어,noun
433,care,케어,noun
438,field,필드,noun
447,development,개발,noun
450,role,역할,noun
453,effort,노력,noun
456,rate,비율,noun
459,heart,마음,noun
460,drug,의약품,noun
461,show,보여 주다,noun
462,leader,지도자,noun
463,light,빛,noun
464,voice,목소리,noun
465,wife,부인,noun
467,police,경찰,noun
468,mind,정신,noun
474,price,가격,noun
475,report,보고서,noun
478,decision,결정,noun
480,son,아들,noun
484,view,보다,noun
485,relationship,관계,noun
487,town,도시,noun
488,road,도로,noun
490,arm,팔,noun
495,difference,차이점,noun
498,value,값,noun
500,building,건물,noun
501,action,동작,noun
503,model,모델,noun
505,season,계절,noun
506,society,사회,noun
508,tax,세,noun
509,director,감독,noun
511,position,위치,noun
512,player,플레이어,noun
515,record,기록,noun
518,paper,종이,noun
520,space,우주,noun
521,ground,지면,noun
522,form,형태,noun
524,event,이벤트,noun
525,official,공식적인,noun
527,matter,문제,noun
529,center,센터,noun
530,couple,커플,noun
531,site,대지,noun
533,project,프로젝트,noun
536,activity,활동,noun
537,star,별,noun
538,table,테이블,noun
539,need,필요,noun
540,court,법원,noun
543,American,미국 사람,noun
545,oil,기름,noun
547,situation,상황,noun
549,cost,비용,noun
550,industry,산업,noun
551,figure,수치,noun
553,street,거리,noun
554,image,영상,noun
556,phone,핸드폰,noun
558,data,데이터,noun
561,picture,그림,noun
563,practice,관행,noun
564,piece,조각,noun
565,land,나라,noun
568,product,제품,noun
569,doctor,의사,noun
570,wall,벽,noun
571,patient,인내심 있는,noun
572,worker,노동자,noun
573,news,소식,noun
574,test,테스트,noun
575,movie,영화,noun
577,north,북쪽,noun
578,love,사랑,noun
581,support,지원하다,noun
584,technology,기술,noun
586,step,단계,noun
587,baby,아기,noun
588,computer,컴퓨터,noun
589,type,유형,noun
590,attention,주목,noun
592,film,영화,noun
593,Republican,공화주의자,noun
594,tree,나무,noun
595,source,원천,noun
598,organization,조직,noun
601,hair,머리카락,noun
602,look,바라보다,noun
604,century,세기,noun
605,evidence,증거,noun
